,amostras
874,5216.876145732156
875,5209.76771210894
876,5205.363792525044
877,5203.242716202439
878,5203.582371756946
879,5207.233878324944
880,5214.959886913687
881,5227.036468845578
882,5243.770660393786
883,5265.752446672269
884,5293.317915230196
885,5326.272702010707
886,5364.114938626952
887,5406.243817445503
888,5452.182251621553
889,5501.567790507353
890,5553.853168831872
891,5608.211161145617
892,5663.777191021911
893,5720.040105581456
894,5776.978263401769
895,5834.855877854699
896,5894.00109063928
897,5954.56710750414
898,6016.383245508178
899,6079.098533969426
900,6142.442780300356
901,6206.2036512087925
902,6269.990567808322
903,6333.269181977416
904,6395.4621276285525
905,6455.978805779607
906,6514.389007896841
907,6570.525950485322
908,6624.4871561896325
909,6676.451281588535
910,6726.325831049397
911,6773.718978516891
912,6818.150769833588
913,6859.2341554579325
914,6896.811653804755
915,6931.01676623264
916,6962.263614152831
917,6990.93764639091
918,7017.138746937867
919,7040.888585045722
920,7062.145280409706
921,7080.574025490353
922,7095.874217689092
923,7108.3845896824
924,7118.857296586984
925,7127.628762390282
926,7134.440914122662
927,7138.841108284092
928,7140.532088938285
929,7139.619472842179
930,7136.396095312016
931,7130.9275754246855
932,7123.106645521078
933,7112.7208103329
934,7099.340759230969
935,7082.456092585889
936,7061.785142201486
937,7037.418917411667
938,7009.656075431734
939,6978.834610904744
940,6945.299211011915
941,6909.287460994299
942,6870.846167228676
943,6829.900839572
944,6786.4218302221425
945,6740.579564932711
946,6692.725010060246
947,6643.244340717507
948,6592.445534663109
949,6540.665131240781
950,6488.378921966435
951,6435.988799858749
952,6383.68858144624
953,6331.5225513221485
954,6279.452740638966
955,6227.488498105164
956,6175.663807181996
957,6124.015045915137
958,6072.725244974172
959,6022.040146730826
960,5972.080776792164
961,5922.8261138235985
962,5874.116641593661
963,5825.863846315202
964,5778.358638201223
965,5731.945356816857
966,5686.477249384755
967,5641.688194747045
968,5597.908483538414
969,5555.966089857688
970,5516.48341252963
971,5479.375204007492
972,5444.032071838524
973,5409.8835559063555
974,5376.797427640378
975,5345.24597192581
976,5316.074516557809
977,5289.892921964342
978,5266.783299606534
979,5246.571768408695
980,5229.111101343509
981,5214.358923459212
982,5202.477950948766
983,5193.814673632971
984,5188.604846600641
985,5186.923616717558
986,5188.874584286998
987,5194.4842313117215
988,5203.699652864453
989,5216.54460363881
990,5232.945881448079
991,5252.679152110697
992,5275.665594707222
993,5302.163222337634
994,5332.619389586437
995,5367.262954779069
996,5405.754282379236
997,5447.317285415152
998,5491.453135818177
999,5538.291697809489
1000,5588.090474585339
1001,5640.832955021222
1002,5696.0813405244235
1003,5752.873301348962
1004,5810.146922490609
1005,5867.246738732378
1006,5923.885080221364
1007,5980.0882922323635
1008,6036.33301365014
1009,6093.261838978107
1010,6151.103059847278
1011,6209.702790425185
1012,6269.089035213229
1013,6329.497983240974
1014,6390.726412019779
1015,6451.889621932756
1016,6512.072461828807
1017,6570.831040996239
1018,6627.878701246946
1019,6682.919445767258
1020,6735.994946879624
1021,6787.436444969074
1022,6837.390218471428
1023,6885.681035958793
1024,6931.907893467693
1025,6975.413032049072
1026,7015.347941580477
1027,7050.931694882246
1028,7081.779958730455
1029,7108.038523346081
1030,7130.144009477379
1031,7148.4471362629565
1032,7163.091499861357
1033,7174.218260052175
1034,7181.903616250303
1035,7185.881750049872
1036,7185.772057421189
1037,7181.5056481110905
1038,7173.469108223874
1039,7162.405833091104
1040,7148.902383513855
1041,7132.8378394681495
1042,7113.611882380092
1043,7090.720468328609
1044,7063.952733013988
1045,7033.605110710044
1046,7000.664532271848
1047,6966.32308096135
1048,6931.273929356358
1049,6895.559504325409
1050,6858.945374687942
1051,6821.452550285051
1052,6783.494101461114
1053,6745.388528248084
1054,6706.984227641429
1055,6667.893946211696
1056,6627.841662984782
1057,6586.734687429237
1058,6544.673236275904
1059,6501.923397323929
1060,6458.678781786865
1061,6414.953605250392
1062,6370.734030880549
1063,6325.961864438259
1064,6280.505259647614
1065,6234.303904106096
1066,6187.315807490158
1067,6139.4374557819365
1068,6090.722633158894
1069,6041.473412360259
1070,5992.010577616883
1071,5942.651934919124
1072,5893.9009817828655
1073,5846.265201349766
1074,5799.859007811068
1075,5754.439434314766
1076,5709.733951576113
1077,5665.57079554439
1078,5622.045568635184
1079,5579.569894472802
1080,5538.4791462076155
1081,5498.88309559427
1082,5460.705516780378
1083,5423.587435260529
1084,5387.413148585686
1085,5352.874528971078
1086,5320.742232769112
1087,5291.025727331914
1088,5263.550024368826
1089,5238.87478460286
1090,5218.052661790287
1091,5201.667745639778
1092,5189.604897176801
1093,5181.761328591106
1094,5178.367155016409
1095,5179.586422327797
1096,5185.542183884119
1097,5196.56913148442
1098,5212.769546687438
1099,5233.6231170191395
1100,5258.385047870172
1101,5286.519842302705
1102,5317.838596646528
1103,5352.631932480288
1104,5391.340793065817
1105,5433.945095764011
1106,5479.970120891997
1107,5528.896354400351
1108,5580.422582613816
1109,5634.360734995214
1110,5690.275657253672
1111,5747.390928811098
1112,5804.827843829785
1113,5861.9732667127855
1114,5918.713161782769
1115,5975.31110089043
1116,6032.274141330052
1117,6090.185060118622
1118,6149.242035130836
1119,6209.080800334814
1120,6269.120947380733
1121,6328.779946121355
1122,6387.42210231814
1123,6444.547572459588
1124,6500.10664319426
1125,6554.310069858483
1126,6607.1074592028
1127,6658.131296846983
1128,6707.076422576898
1129,6753.817444614916
1130,6798.2456557609485
1131,6840.251281818038
1132,6879.747547329341
1133,6916.611033987259
1134,6950.757114538797
1135,6982.298528961272
1136,7011.588659095855
1137,7039.033030709299
1138,7064.699150534041
1139,7088.1620123835555
1140,7108.94597766909
1141,7127.078949303457
1142,7142.955608408887
1143,7156.776910178822
1144,7168.299687447248
1145,7176.930075597962
1146,7182.016077721501
1147,7183.114661665989
1148,7180.028234720937
1149,7172.738008239156
1150,7161.322155460511
1151,7145.953445765524
1152,7126.946777354377
1153,7104.677106800834
1154,7079.576246125958
1155,7052.134145886432
1156,7022.569408109178
1157,6990.631118789943
1158,6955.881172554474
1159,6918.167066630472
1160,6877.905870721784
1161,6835.682747384295
1162,6791.668274895439
1163,6745.876586088704
1164,6698.438791272047
1165,6649.214038104599
1166,6597.749313714033
1167,6543.624392671732
1168,6486.619347326223
1169,6426.820666070436
1170,6364.542395689768
1171,6300.074267481002
1172,6233.717144483532
1173,6166.106607837623
1174,6098.330031100004
1175,6031.774123719844
1176,5968.247817731373
1177,5910.496892922835
1178,5861.633793814648
1179,5822.720633167336
1180,5791.595823745193
1181,5764.8657534508775
1182,5739.925372299018
1183,5715.068821964479
1184,5689.243181966455
1185,5662.097943539167
1186,5633.659321171366
1187,5603.809185786179
1188,5572.268639933421
1189,5539.054954770863
1190,5504.791092748037
1191,5470.411866892811
1192,5436.565896962974
1193,5403.544097163619
1194,5371.768607977727
1195,5341.802689707101
1196,5313.884040848942
1197,5288.184168150374
1198,5265.468766101772
1199,5246.820143892503
1200,5232.807890186968
1201,5223.409664819243
1202,5218.469935311065
1203,5217.784661019882
1204,5220.915743252035
1205,5227.32433122144
1206,5236.8543298564255
1207,5249.810326797664
1208,5266.456165420876
1209,5286.793375287923
1210,5310.70377010664
1211,5338.08330771559
1212,5368.983129442128
1213,5403.422740021493
1214,5441.048057535125
1215,5481.305289081064
1216,5523.8792411466275
1217,5568.858156171074
1218,5616.577791593728
1219,5667.27635959229
1220,5720.809751783821
1221,5776.638531060434
1222,5834.046875209875
1223,5892.443694785412
1224,5951.557335404117
1225,6011.591476655605
1226,6073.2444531536685
1227,6137.124363217097
1228,6203.058681059998
1229,6270.122664928907
1230,6337.175135586753
1231,6403.32883534892
1232,6467.984645234259
1233,6530.566307629401
1234,6590.396450765148
1235,6646.878510124607
1236,6699.890094945469
1237,6749.880187536591
1238,6797.355961950916
1239,6842.396618864145
1240,6884.88211023308
1241,6924.985587688081
1242,6962.94776003527
1243,6998.472909765447
1244,7030.928428882384
1245,7060.114035986365
1246,7086.295374226065
1247,7109.506087809497
1248,7129.439306139823
1249,7145.947251321922
1250,7159.020265035715
1251,7168.51778701483
1252,7174.312149109062
1253,7176.268382150985
1254,7174.043913470681
1255,7167.3739905763405
1256,7156.5027870881895
1257,7142.296072323443
1258,7126.018773748694
1259,7108.680059010984
1260,7090.490810867356
1261,7071.075093990659
1262,7050.0386589161935
1263,7027.227464575589
1264,7002.570942590174
1265,6975.999425903327
1266,6947.554941943843
1267,6917.219636775962
1268,6884.72546233924
1269,6849.787772049691
1270,6812.395293334128
1271,6772.775075155758
1272,6731.127644307903
1273,6687.514062042855
1274,6642.0925264967955
1275,6595.407218101452
1276,6548.246327669023
1277,6501.105836586474
1278,6453.904600807971
1279,6406.256665985946
1280,6357.883926641732
1281,6308.709580816422
1282,6258.816439642085
1283,6208.495960279728
1284,6158.136685688516
