Tempo,Velocidade RPM
4796704.0,4039.38
4814384.0,4072.4
4832064.0,4038.46
4849752.0,4019.67
4867432.0,4072.4
4885104.0,4074.24
4902784.0,4055.43
4920472.0,4053.6
4938144.0,4074.24
4955832.0,4053.6
4973512.0,4072.4
4991192.0,4072.4
5008872.0,4055.43
5026544.0,4057.27
5044240.0,4068.72
5061904.0,4059.1
5079584.0,4038.46
5097272.0,4053.6
5114952.0,4072.4
5132632.0,4038.46
5150304.0,4057.27
5167992.0,4070.56
5185672.0,4055.43
5203344.0,4040.29
5221032.0,4070.56
5238712.0,4055.43
5256392.0,4038.46
5274064.0,4057.27
5291752.0,4053.6
5309424.0,4057.27
5327104.0,4055.43
5344784.0,4072.4
5362464.0,4055.43
5380144.0,4055.43
5397824.0,4072.4
5415504.0,4055.43
5433184.0,4038.46
5450872.0,4036.64
5468552.0,4072.4
5486232.0,4038.46
5503912.0,4038.46
5521584.0,4091.22
5539264.0,4055.43
5556952.0,4019.67
5574632.0,4072.4
5592304.0,4040.29
5609992.0,4053.6
5627672.0,4055.43
5645352.0,4055.43
5663024.0,4040.29
5680708.0,4020.58
5698392.0,4071.48
5716064.0,4040.29
5733744.0,4021.49
5751428.0,4054.51
5769112.0,4037.55
5786784.0,4040.29
5804472.0,4036.64
5822144.0,4074.24
5839832.0,4019.67
5857504.0,4040.29
5875192.0,4053.6
5892864.0,4040.29
5910548.0,4037.55
5928224.0,4039.38
5945904.0,4055.43
5963584.0,4038.46
5981264.0,4038.46
5998952.0,4036.64
6016624.0,4040.29
6034304.0,4038.46
6051984.0,4055.43
6069672.0,4036.64
6087352.0,4038.46
6105024.0,4057.27
6122704.0,4038.46
6140384.0,4004.52
6158064.0,4021.49
6175756.0,4052.68
6193424.0,4024.22
6211104.0,4021.49
6228784.0,4055.43
6246464.0,4038.46
6264152.0,4036.64
6281832.0,4038.46
6299508.0,4056.35
6317184.0,4039.38
6334864.0,4038.46
6352552.0,4070.56
6370224.0,4057.27
6387904.0,4021.49
6405584.0,4055.43
6423272.0,4036.64
6440952.0,4038.46
6458624.0,4023.31
6476304.0,4055.43
6493984.0,4004.52
6511672.0,4019.67
6529344.0,4057.27
6547032.0,4019.67
6564704.0,4006.34
6582392.0,4036.64
6600068.0,4039.38
6617744.0,4022.4
