Tempo,Velocidade RPM,amostra_ajustada
5.256392,4038.46,3764.3163649635035
5.274064,4057.27,3781.8494817518244
5.291752,4053.6,3778.4286131386857
5.309424,4057.27,3781.8494817518244
5.327103999999999,4055.43,3780.1343868613135
5.344784,4072.4,3795.952408759124
5.362464,4055.43,3780.1343868613135
5.380144,4055.43,3780.1343868613135
5.397824,4072.4,3795.952408759124
5.415503999999999,4055.43,3780.1343868613135
5.433184,4038.46,3764.3163649635035
5.4508719999999995,4036.64,3762.619912408759
5.468552,4072.4,3795.952408759124
5.486231999999999,4038.46,3764.3163649635035
5.503912,4038.46,3764.3163649635035
5.521584,4091.22,3813.494846715328
5.539264,4055.43,3780.1343868613135
5.556952,4019.67,3746.801890510949
5.574631999999999,4072.4,3795.952408759124
5.5923039999999995,4040.29,3766.0221386861313
5.609992,4053.6,3778.4286131386857
5.627672,4055.43,3780.1343868613135
5.645352,4055.43,3780.1343868613135
5.663024,4040.29,3766.0221386861313
5.680708,4020.58,3747.650116788321
5.698392,4071.48,3795.0948613138685
5.716063999999999,4040.29,3766.0221386861313
5.733744,4021.49,3748.498343065693
5.751428,4054.51,3779.2768394160585
5.769112,4037.55,3763.4681386861316
5.786784,4040.29,3766.0221386861313
5.804472,4036.64,3762.619912408759
5.822144,4074.24,3797.6675036496345
5.8398319999999995,4019.67,3746.801890510949
5.857504,4040.29,3766.0221386861313
5.875191999999999,4053.6,3778.4286131386857
5.892863999999999,4040.29,3766.0221386861313
5.9105479999999995,4037.55,3763.4681386861316
5.928224,4039.38,3765.173912408759
5.945904,4055.43,3780.1343868613135
5.963584,4038.46,3764.3163649635035
5.9812639999999995,4038.46,3764.3163649635035
5.998952,4036.64,3762.619912408759
6.016623999999999,4040.29,3766.0221386861313
6.034304,4038.46,3764.3163649635035
6.051984,4055.43,3780.1343868613135
6.069672,4036.64,3762.619912408759
6.087352,4038.46,3764.3163649635035
6.105023999999999,4057.27,3781.8494817518244
6.122704,4038.46,3764.3163649635035
6.140384,4004.52,3732.680321167883
6.1580639999999995,4021.49,3748.498343065693
6.175756,4052.68,3777.5710656934302
6.193423999999999,4024.22,3751.04302189781
6.211104,4021.49,3748.498343065693
6.228784,4055.43,3780.1343868613135
6.246464,4038.46,3764.3163649635035
6.264151999999999,4036.64,3762.619912408759
6.281832,4038.46,3764.3163649635035
6.299507999999999,4056.35,3780.991934306569
6.317184,4039.38,3765.173912408759
6.334864,4038.46,3764.3163649635035
6.352551999999999,4070.56,3794.237313868613
6.370223999999999,4057.27,3781.8494817518244
6.387904,4021.49,3748.498343065693
